"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"0402_100nF__104_10%_16V","desc","C11,C4,C12,C13,C3,C14,C15,C5,C8,","0402_C","libref","2","9","","",
"0402_22pF__220_5%_50V","desc","C2,C1,","0402_C","libref","2","2","","",
"0603_10uF__106_10%_10V","desc","C6,C10,","0603_C","libref","2","2","","",
"LOGO","desc","G***,","github","libref","0","1","","",
"0402_510Ω__5100_1%","desc","R10,R11,R12,R9,","0402_R","libref","2","4","","",
"0402_1.5KΩ__1501_1%","desc","R13,","0402_R","libref","2","1","","",
"0402_22Ω__22R0_1%","desc","R14,R15,","0402_R","libref","2","2","","",
"0402_0Ω__0R0_1%","desc","R16,","0402_R","libref","2","1","","",
"0402_100KΩ__1003_1%","desc","R3,","0402_R","libref","2","1","","",
"0402_10KΩ__1002_1%","desc","R5,R4,R2,R1,","0402_R","libref","2","4","","",
"0402_100Ω__1000_1%","desc","R6,","0402_R","libref","2","1","","",
"0402_5.1KΩ__5101_1%","desc","R8,R7,","0402_R","libref","2","2","","",
"W25Q128FVSIG_[C35101]","desc","U1,","SOIC-8_208MIL","libref","8","1","","",
"STM32F103CBTx","desc","U2,","LQFP-48_7x7mm_P0.5mm","libref","48","1","","",
"SOT-223_AMS1117-3.3","desc","VR1,","SOT-223","libref","4","1","","",
"SMD-5032_2P_8MHz_20ppm_20pF","desc","Y1,","SMD-5032_2P","libref","2","1","","",
"Through Hole Items ",
"USB_C_Receptacle_USB2.0","desc","J1,","USB_C_Receptacle_Palconn_UTC16-G","libref","22","1","","",
"Conn_02x05_Top_Bottom","desc","J2,","PinHeader_2x05_P2.54mm_Vertical","libref","10","1","","",
"Conn_01x09","desc","J3,","PinHeader_1x09_P2.54mm_Vertical","libref","9","1","","",
"Conn_01x06","desc","J4,","PinHeader_1x06_P2.54mm_Vertical","libref","6","1","","",
"SW_Push","desc","SW1,","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","libref","4","1","","",
"LED_RCBG","desc","D1,","LED_D5.0mm-4_RGB","libref","4","1","","",
