"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","0402_C","35.700001mm","1.500001mm","35.700001mm","1.500001mm","36.125001mm","1.500001mm","T","180","0402_22pF__220_5%_50V",
"C10","0603_C","10.310001mm","17.460001mm","10.310001mm","17.460001mm","11.080001mm","17.460001mm","T","180","0603_10uF__106_10%_10V",
"C11","0402_C","33.904001mm","5.680001mm","33.904001mm","5.680001mm","33.904001mm","5.255001mm","T","90","0402_100nF__104_10%_16V",
"C12","0402_C","19.480001mm","18.680001mm","19.480001mm","18.680001mm","19.905001mm","18.680001mm","T","180","0402_100nF__104_10%_16V",
"C13","0402_C","32.050001mm","17.250001mm","32.050001mm","17.250001mm","32.050001mm","17.675001mm","T","270","0402_100nF__104_10%_16V",
"C14","0402_C","35.340001mm","19.880001mm","35.340001mm","19.880001mm","35.340001mm","19.455001mm","T","90","0402_100nF__104_10%_16V",
"C15","0402_C","17.840001mm","9.450001mm","17.840001mm","9.450001mm","18.265001mm","9.450001mm","T","180","0402_100nF__104_10%_16V",
"C2","0402_C","26.300001mm","1.500001mm","26.300001mm","1.500001mm","25.875001mm","1.500001mm","T","0","0402_22pF__220_5%_50V",
"C3","0402_C","37.850001mm","16.400001mm","37.850001mm","16.400001mm","37.850001mm","15.975001mm","T","90","0402_100nF__104_10%_16V",
"C4","0402_C","31.080001mm","5.680001mm","31.080001mm","5.680001mm","31.080001mm","5.255001mm","T","90","0402_100nF__104_10%_16V",
"C5","0402_C","25.940001mm","15.880001mm","25.940001mm","15.880001mm","25.940001mm","15.455001mm","T","90","0402_100nF__104_10%_16V",
"C6","0603_C","9.570001mm","14.790001mm","9.570001mm","14.790001mm","9.570001mm","14.020001mm","T","90","0603_10uF__106_10%_10V",
"C8","0402_C","11.180001mm","14.280001mm","11.180001mm","14.280001mm","11.180001mm","13.855001mm","T","90","0402_100nF__104_10%_16V",
"G***","github","36.500001mm","9.000001mm","36.500001mm","9.000001mm","36.500001mm","9.000001mm","T","0","LOGO",
"R1","0402_R","36.400001mm","16.390001mm","36.400001mm","16.390001mm","36.400001mm","16.815001mm","T","270","0402_10KΩ__1002_1%",
"R10","0402_R","35.416001mm","5.210001mm","35.416001mm","5.210001mm","35.416001mm","5.635001mm","T","270","0402_510Ω__5100_1%",
"R11","0402_R","38.240001mm","5.210001mm","38.240001mm","5.210001mm","38.240001mm","5.635001mm","T","270","0402_510Ω__5100_1%",
"R12","0402_R","36.828001mm","5.210001mm","36.828001mm","5.210001mm","36.828001mm","5.635001mm","T","270","0402_510Ω__5100_1%",
"R13","0402_R","9.850002mm","9.920001mm","9.850002mm","9.920001mm","9.425002mm","9.920001mm","T","0","0402_1.5KΩ__1501_1%",
"R14","0402_R","9.850002mm","12.520001mm","9.850002mm","12.520001mm","10.275002mm","12.520001mm","T","180","0402_22Ω__22R0_1%",
"R15","0402_R","9.850002mm","11.320001mm","9.850002mm","11.320001mm","10.275002mm","11.320001mm","T","180","0402_22Ω__22R0_1%",
"R16","0402_R","12.000001mm","9.920001mm","12.000001mm","9.920001mm","11.575001mm","9.920001mm","T","0","0402_0Ω__0R0_1%",
"R2","0402_R","30.700001mm","14.310001mm","30.700001mm","14.310001mm","30.275001mm","14.310001mm","T","0","0402_10KΩ__1002_1%",
"R3","0402_R","23.020001mm","1.270001mm","23.020001mm","1.270001mm","23.020001mm","0.845001mm","T","90","0402_100KΩ__1003_1%",
"R4","0402_R","24.420001mm","1.270001mm","24.420001mm","1.270001mm","24.420001mm","0.845001mm","T","90","0402_10KΩ__1002_1%",
"R5","0402_R","32.492001mm","5.680001mm","32.492001mm","5.680001mm","32.492001mm","5.255001mm","T","90","0402_10KΩ__1002_1%",
"R6","0402_R","32.720001mm","12.610001mm","32.720001mm","12.610001mm","32.720001mm","12.185001mm","T","90","0402_100Ω__1000_1%",
"R7","0402_R","6.200001mm","18.570001mm","6.200001mm","18.570001mm","6.625001mm","18.570001mm","T","180","0402_5.1KΩ__5101_1%",
"R8","0402_R","6.210001mm","5.380001mm","6.210001mm","5.380001mm","6.635001mm","5.380001mm","T","180","0402_5.1KΩ__5101_1%",
"R9","0402_R","33.810001mm","19.880001mm","33.810001mm","19.880001mm","33.810001mm","19.455001mm","T","90","0402_510Ω__5100_1%",
"U1","SOIC-8_208MIL","13.290001mm","6.000001mm","13.290001mm","6.000001mm","9.890001mm","7.905001mm","T","270","W25Q128FVSIG_[C35101]",
"U2","LQFP-48_7x7mm_P0.5mm","25.000001mm","8.660001mm","25.000001mm","8.660001mm","25.998789mm","3.772125mm","T","135","STM32F103CBTx",
"VR1","SOT-223","16.410001mm","15.820001mm","16.410001mm","15.820001mm","13.410001mm","18.120001mm","T","180","SOT-223_AMS1117-3.3",
"Y1","SMD-5032_2P","31.000001mm","2.000001mm","31.000001mm","2.000001mm","33.050001mm","2.000001mm","T","180","SMD-5032_2P_8MHz_20ppm_20pF",
"Through Hole Items ",
"J1","USB_C_Receptacle_Palconn_UTC16-G","4.020001mm","12.010001mm","4.020001mm","12.010001mm","6.530001mm","8.810001mm","T","270","USB_C_Receptacle_USB2.0",
"J2","PinHeader_2x05_P2.54mm_Vertical","41.000001mm","17.630001mm","41.000001mm","17.630001mm","41.000001mm","17.630001mm","T","0","Conn_02x05_Top_Bottom",
"J3","PinHeader_1x09_P2.54mm_Vertical","8.380001mm","23.500001mm","8.380001mm","23.500001mm","8.380001mm","23.500001mm","T","90","Conn_01x09",
"J4","PinHeader_1x06_P2.54mm_Vertical","7.840001mm","1.660001mm","7.840001mm","1.660001mm","7.840001mm","1.660001mm","T","90","Conn_01x06",
"SW1","SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","31.810001mm","22.210001mm","31.810001mm","22.210001mm","31.810001mm","22.210001mm","T","0","SW_Push",
